"TYPE","time_seconds","run_uuid","name","experiment_name","arc_dilation_resnet1d","arc_embedding_dim","arc_filters","arc_kernel","arc_latent_dim","arc_num_layers","arc_rank","arc_resnet_bottleneck_factor","batch","batch_size","cache_path","command","d","device","exp","global_config","hyp_device","hyp_embedding_dim","hyp_interaction_prior","hyp_lr","hyp_negative_weight","hyp_output_th","hyp_scheduler","hyp_lambda_l1","hyp_lambda_l2","j","max_epochs","max_len","max_length","no_cache","nworkers","out_path","quiet","run","train_file","valid_file","valid_split","verbose"
train,1243,b12262324019422b835b33a16eca944e,loss_l1_1e-4,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,"0.0001",,"2","100","128",None,False,"4",results/plain_loss_l1/lambda_1e-4,False,loss_l1_1e-4,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1700,"9aeec21f013c4fc89e37bc8ef92842cd",loss_l1_5e-2,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,"0.05",,"2","100","128",None,False,"4",results/plain_loss_l1/lambda_5e-2,False,loss_l1_5e-2,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1202,"49ae5dcc06d945b4985ba2b5e432cdd4",loss_l1_5e-3,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,"0.005",,"2","100","128",None,False,"4",results/plain_loss_l1/lambda_5e-3,False,loss_l1_5e-3,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1288,b79cef8a4f3f41f0ae5399bf21a52382,loss_l1_5e-4,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,"0.0005",,"2","100","128",None,False,"4",results/plain_loss_l1/lambda_5e-4,False,loss_l1_5e-4,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1341,"3681512d1ad841a199aeb97ed6ccba86",loss_l2_1e-1,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.05","2","100","128",None,False,"4",results/plain_loss_l2/lambda_1e-1,False,loss_l2_1e-1,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1103,"14783093d51742c79b8cd229bfa558c8",loss_l2_1e-2,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.01","2","100","128",None,False,"4",results/plain_loss_l2/lambda_1e-2,False,loss_l2_1e-2,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1631,a046ba9ecb7b438a941432ca1c75f96c,loss_l2_1e-3,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.001","2","100","128",None,False,"4",results/plain_loss_l2/lambda_1e-3,False,loss_l2_1e-3,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1385,"56633830af714be9b1fcf0b67e98718c",loss_l2_1e-4,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.0001","2","100","128",None,False,"4",results/plain_loss_l2/lambda_1e-4,False,loss_l2_1e-4,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,977,d2862c5d139a49e7a2e9b57c294ea04e,loss_l2_5e-2,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.05","2","100","128",None,False,"4",results/plain_loss_l2/lambda_5e-2,False,loss_l2_5e-2,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1086,"0a3a1f3c6bed4b838f6d4ec4697fed65",loss_l2_5e-3,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.005","2","100","128",None,False,"4",results/plain_loss_l2/lambda_5e-3,False,loss_l2_5e-3,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
train,1505,"7f842f6eb5a24f02b3a4b4c5f939d781",loss_l2_5e-4,plain_loss_fn,"3","4","32","3","32","2","64","0.5","4","4",cache/,train,cpu,cpu,plain_loss_fn,None,cpu,"4",,"0.001",,"0.5",none,,"0.0005","2","100","128",None,False,"4",results/plain_loss_l2/lambda_5e-4,False,loss_l2_5e-4,data/ArchiveII-KFold/common/fold_0_train.csv,data/ArchiveII-KFold/common/fold_0_val.csv,"0.1",True
