"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_conv2","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"19ab1fbf9b9c49ff807bdd11aa079970",UNet-v1-avg-pooling-no-skips-num_convs-1-1,16,"4","8","3","1","1","1","1",0,"0.001","0.5",none,16,0.002861886488112625,0.9982611418776371,0.5996835443037974,0.9982613238402112,0.003383856355830343,0.9966418207908163,0.4387755102040816,0.9966412069132141,0.004872299658519955,0.9941742995689655,0.3146551724137931,0.9941716879164715
"6501a92df42847d38da59e8fe51ea6cf",UNet-v1-avg-pooling-no-skips-num_convs-1-2,18,"4","8","3","1","1","1","2",0,"0.001","0.5",none,18,0.005977129995948655,0.9965655491824894,0.39345991561181437,0.9965622656960978,0.007194020818652851,0.9937619579081632,0.336734693877551,0.9937518419384893,0.007104197199905998,0.9942921605603449,0.2413793103448276,0.9942876225242633
ec3e0e7702d44efa9ee1d597cb19915f,UNet-v1-avg-pooling-no-skips-num_convs-1-3,19,"4","8","3","1","1","1","3",0,"0.001","0.5",none,19,0.009495442644260698,0.9915694224683544,0.13027426160337552,0.9915488080356426,0.008498353893127369,0.9919981664540817,0.15306122448979592,0.9919796097011404,0.007466967221638509,0.9930630387931034,0.15517241379310345,0.9930490111768163
b9cabf0294f34b10b78ee2482de7d6a5,UNet-v1-avg-pooling-no-skips-num_convs-2-1,17,"4","8","3","1","1","2","1",0,"0.001","0.5",none,17,0.003620004344766936,0.9980994115901899,0.5485232067510548,0.9980981846303429,0.004287707324766991,0.9961933992346939,0.3877551020408163,0.9961936583915602,0.004471656954686703,0.9956980738146551,0.3620689655172414,0.9956955058493534
"2b1df7074d5c46b28d8406d0ea202278",UNet-v1-avg-pooling-no-skips-num_convs-2-2,19,"4","8","3","1","1","2","2",0,"0.001","0.5",none,19,0.016914422317301926,0.9859995137790084,0.004219409282700422,0.9859385630269645,0.02390096078113634,0.9742705676020408,0.0,0.9741013731095399,0.023115385468278467,0.9754344019396551,0.0,0.9753370312919178
e7d9cfd82b7345bf9de33ff735a26e73,UNet-v1-avg-pooling-no-skips-num_convs-2-3,18,"4","8","3","1","1","2","3",0,"0.001","0.5",none,18,0.05161506735291411,0.9130591541402954,0.0,0.9113536301741856,0.04780164976813355,0.9162647480867347,0.0,0.9135336072168377,0.052430630822120045,0.9113516971982759,0.0,0.908323095008524
c5d42864355d443bafa4b4a51214cfff,UNet-v1-avg-pooling-no-skips-num_convs-3-1,18,"4","8","3","1","1","3","1",0,"0.001","0.5",none,18,0.011175979526108328,0.9930857726793249,0.1371308016877637,0.9930738300372711,0.01102234531498077,0.9922971141581632,0.15816326530612246,0.9922740237916674,0.0118444269153707,0.9917834051724138,0.15948275862068967,0.9917639435056356
"9d96d4f0d739418e89c48356f5ad6c49",UNet-v1-avg-pooling-no-skips-num_convs-3-2,18,"4","8","3","1","1","3","2",0,"0.001","0.5",none,18,0.025890030774370403,0.9731146575026371,0.0,0.9727946179522543,0.025281901832441896,0.9714604591836735,0.0,0.9710822344546615,0.026077770820722497,0.9730014143318966,0.0,0.9726613177379106
"98b8938bd9b44ef2a6133630afbac732",UNet-v1-avg-pooling-no-skips-num_convs-3-3,19,"4","8","3","1","1","3","3",0,"0.001","0.5",none,19,0.05969575556773174,0.9235541106276371,0.0,0.9180459198552661,0.05554151436199947,0.9284319196428571,0.0,0.9226192795898415,0.05869626202459993,0.926202182112069,0.0,0.9202953741850496
bbcc37b3eb3849109ae3aa31bf9277e2,UNet-v1-avg-pooling-num_convs-1-1,19,"4","8","3","1","1","1","1",1,"0.001","0.5",none,19,0.0008023888808317,0.9999227403085443,0.9794303797468354,0.9999227321188854,0.0003506947161478,1.0,1.0,1.0,0.0003695510378497,0.9999579067887931,0.9913793103448276,0.9999579179246487
e336376030534b83b7465a5ea28d9f6e,UNet-v1-avg-pooling-num_convs-1-2,17,"4","8","3","1","1","1","2",1,"0.001","0.5",none,17,0.002229604595375173,0.9984475952663502,0.740506329113924,0.9984467622282366,0.0014350967082594121,0.9985750159438775,0.8061224489795918,0.9985748297109234,0.0014456716814712654,0.9986193426724138,0.8275862068965517,0.9986192169654535
"2ca9d7ab26c84e28851f96bd9501ff02",UNet-v1-avg-pooling-num_convs-1-3,19,"4","8","3","1","1","1","3",1,"0.001","0.5",none,19,0.0032673883350086614,0.9992531563159283,0.8154008438818565,0.9992526608143064,0.0037035686700433797,0.9986248405612245,0.7602040816326531,0.9986245638133029,0.0031118498922422014,0.9992170662715517,0.8405172413793104,0.9992166173682434
d1d71748673e4ec0bc43234c19006db3,UNet-v1-avg-pooling-num_convs-2-1,17,"4","8","3","1","1","2","1",1,"0.001","0.5",none,17,0.009661867027858642,0.9917517553401899,0.008966244725738396,0.9916870920276398,0.008633876380947779,0.9916593590561225,0.015306122448979591,0.9915905635678304,0.007246515818004464,0.9928609913793104,0.034482758620689655,0.992819587832858
"24252fd7fbe343f38a415673c16cd4a9",UNet-v1-avg-pooling-num_convs-2-2,19,"4","8","3","1","1","2","2",1,"0.001","0.5",none,19,0.0019322771670882302,0.9996095810258439,0.8127637130801688,0.9996093236175666,0.001578932347688444,0.9991828762755102,0.6122448979591837,0.9991819027756697,0.0015912076512528263,0.9992170662715517,0.6077586206896551,0.9992162685866796
