epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9879,0.0003,0.9154,0.9227,0.0177
1,0.9934,0.0002,0.9177,0.9234,0.0200
2,0.9920,0.0002,0.9144,0.9213,0.0194
3,0.9931,0.0002,0.9204,0.9239,0.0207
4,0.9888,0.0003,0.9120,0.9232,0.0148
