name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_M.thermolithotrophicus,0.21052631578947367,0.06349206349206349,0.0975609756097561,0.0975609756097561,rnadist_200,RNaseP
RNaseP_Anabaena-PCC7120,0.6153846153846154,0.053691275167785234,0.09876543209876543,0.09876543209876543,rnadist_200,RNaseP
RNaseP_N.plantarum,0.8333333333333334,0.0625,0.11627906976744186,0.11627906976744186,rnadist_200,RNaseP
RNaseP_ERE,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.0606060606060606,rnadist_200,RNaseP
RNaseP_Synechocystis-PCC6803,0.7777777777777778,0.05,0.09395973154362415,0.09395973154362415,rnadist_200,RNaseP
RNaseP_W.fluorescens,0.47058823529411764,0.32,0.38095238095238104,0.38095238095238104,rnadist_200,RNaseP
RNaseP_M.phosphovorus-JCM9380,0.7857142857142857,0.12087912087912088,0.20952380952380953,0.20952380952380953,rnadist_200,RNaseP
RNaseP_S.cyanea-K168T,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_I.calvum,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_H.chlorum,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_LGW113,0.8,0.043478260869565216,0.08247422680412371,0.08247422680412371,rnadist_200,RNaseP
RNaseP_WA1,0.2631578947368421,0.05952380952380952,0.0970873786407767,0.0970873786407767,rnadist_200,RNaseP
RNaseP_H.morrhuae,0.6666666666666666,0.027777777777777776,0.05333333333333333,0.05333333333333333,rnadist_200,RNaseP
RNaseP_S.malidevorans,0.30303030303030304,0.16393442622950818,0.21276595744680848,0.21276595744680848,rnadist_200,RNaseP
RNaseP_M.capricolum,0.6875,0.10891089108910891,0.18803418803418803,0.18803418803418803,rnadist_200,RNaseP
RNaseP_S.glauca-K194,0.25,0.00980392156862745,0.018867924528301886,0.018867924528301886,rnadist_200,RNaseP
RNaseP_S.unisporus,0.5263157894736842,0.20408163265306123,0.29411764705882354,0.29411764705882354,rnadist_200,RNaseP
RNaseP_L.japonicus-IFO15385,0.75,0.06451612903225806,0.11881188118811882,0.11881188118811882,rnadist_200,RNaseP
RNaseP_E.thermomarinus,0.25,0.03,0.05357142857142856,0.05357142857142856,rnadist_200,RNaseP
RNaseP_CPA62,0.4,0.02,0.03809523809523809,0.03809523809523809,rnadist_200,RNaseP
RNaseP_S.mutans,0.42105263157894735,0.07079646017699115,0.1212121212121212,0.1212121212121212,rnadist_200,RNaseP
RNaseP_N.olivacea-chloroplast,0.25,0.008064516129032258,0.015625,0.015625,rnadist_200,RNaseP
RNaseP_A.erythreum,0.9,0.09574468085106383,0.17307692307692307,0.17307692307692307,rnadist_200,RNaseP
RNaseP_P.acanthamoebae,0.0,0.0,0.023668639053254437,0.0,rnadist_200,RNaseP
RNaseP_S.glauca-K202,0.3333333333333333,0.019417475728155338,0.03669724770642202,0.03669724770642202,rnadist_200,RNaseP
RNaseP_B.brevis,0.75,0.07142857142857142,0.13043478260869565,0.13043478260869565,rnadist_200,RNaseP
RNaseP_PS31,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_S.pombe,0.2857142857142857,0.11594202898550725,0.18556701030927836,0.1649484536082474,rnadist_200,RNaseP
RNaseP_R.rubrum,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_P.maris,0.4444444444444444,0.0425531914893617,0.07766990291262137,0.07766990291262137,rnadist_200,RNaseP
RNaseP_S.aureus-2,0.4666666666666667,0.06422018348623854,0.11290322580645162,0.11290322580645162,rnadist_200,RNaseP
RNaseP_S.epidermidis,0.4,0.036036036036036036,0.06611570247933883,0.06611570247933883,rnadist_200,RNaseP
