run_name,exp,run,arc_features,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
SMLP_f64_64_64,SimpleMLP,SMLP_f64_64_64,"[64, 64, 64]",49472,0.09879695748289426,0.1353475209325552,0.07338012289255857,0.7459121961956037,0.8652009106378704,0.8992543162183898,0.8483135363116738,0.7607764585519693,0.8863266672170493,0.0390625,0.03125,0.0
SMLP_f32_64_64,SimpleMLP,SMLP_f32_64_64,"[32, 64, 64]",31008,0.09802114889025688,0.14482511766254902,0.10139109194278717,0.7347096059031321,0.8500030881806927,0.8283263099791761,0.8294863508195268,0.7329183124821765,0.8020790023920372,0.0,0.0,0.0
SMLP_f32_32_64,SimpleMLP,SMLP_f32_32_64,"[32, 32, 64]",27904,0.08854959085583687,0.16334065608680248,0.08072122558951378,0.7222806258368205,0.8816744823618899,0.8861828844748326,0.8670735834387315,0.7234936373604093,0.8716142487008177,0.052083333333333336,0.00390625,0.0
SMLP_f32_32_32,SimpleMLP,SMLP_f32_32_32,"[32, 32, 32]",22752,0.08134247660636902,0.16824105568230152,0.08636772446334362,0.7626657049226806,0.8958185023196736,0.8860865620561584,0.8819820507856553,0.7618890342669543,0.872660244030485,0.005520833345750968,0.0,0.0
SMLP_f16_64_64,SimpleMLP,SMLP_f16_64_64,"[16, 64, 64]",21776,0.08309086933732032,0.1524082086980343,0.08199719525873661,0.7451221849164963,0.8837729201422732,0.8754704154387768,0.8681469058940894,0.7443644043665754,0.859865518457593,0.0,0.0,0.0
SMLP_f16_32_64,SimpleMLP,SMLP_f16_32_64,"[16, 32, 64]",19184,0.08654118776321411,0.15831448137760162,0.08234144747257233,0.7313175805505833,0.8745657686504092,0.8762502421058904,0.8580379431650171,0.7234415339335654,0.8599420965634369,0.0,0.0,0.0
SMLP_f16_32_32,SimpleMLP,SMLP_f16_32_32,"[16, 32, 32]",14032,0.08388872270782789,0.14024542830884457,0.08278307691216469,0.7569513135249215,0.8840392055532614,0.876347299005928,0.8699375445094343,0.7548142957220443,0.8610769742169132,0.0,0.0,0.0
SMLP_f16_16_64,SimpleMLP,SMLP_f16_16_64,"[16, 16, 64]",17888,0.09066641901930174,0.14741292037069798,0.08759699389338493,0.7277298057956927,0.8667975251065488,0.8648206213766148,0.8491883544467078,0.7256779367788464,0.8482425878097138,0.0,0.0,0.0
SMLP_f16_16_32,SimpleMLP,SMLP_f16_16_32,"[16, 16, 32]",13248,0.083291831985116,0.12719528563320637,0.0751627441495657,0.7461790662763319,0.8809259483649278,0.8949297504148619,0.8659009397096625,0.7628956306524326,0.8805077340663205,0.0036458333333333334,0.0,0.0
SMLP_f16_16_16,SimpleMLP,SMLP_f16_16_16,"[16, 16, 16]",10928,0.08824322521686553,0.17571012116968632,0.06679478753358126,0.7147485931721665,0.8786264513077395,0.8979071524995059,0.8638605134227237,0.7165602480389657,0.8840455238309446,0.0,0.0,0.0
SMLP_f64_64,SimpleMLP,SMLP_f64_64,"[64, 64]",45312,0.05707701854407787,0.19121995940804482,0.05648659076541662,0.7689347214024013,0.930099958827738,0.9233016951939017,0.9206694162899088,0.770626678708311,0.9128876791455307,0.04927083353201548,0.01953125,0.0
SMLP_f32_64,SimpleMLP,SMLP_f32_64,"[32, 64]",26848,0.05891103533407052,0.13848775625228882,0.056818327866494656,0.7725979750703371,0.9217067698949226,0.9182109415461259,0.911632201706265,0.7694083079996713,0.9073380556242476,0.0010416666666666667,0.0,0.0
SMLP_f32_32,SimpleMLP,SMLP_f32_32,"[32, 32]",21696,0.060246203715602555,0.12749839015305042,0.058848743326961994,0.8110407680449397,0.9228545581644885,0.9099056224414567,0.9120719961075822,0.8101566185116346,0.8995096673012051,0.003125,0.0,0.0
SMLP_f16_64,SimpleMLP,SMLP_f16_64,"[16, 64]",17616,0.07902397476136684,0.15584652498364449,0.07926181051880121,0.7251047558237934,0.8903406883851167,0.8946634066396035,0.8757169227429833,0.7284967033466199,0.8803306351330378,0.0,0.0,0.0
SMLP_f16_32,SimpleMLP,SMLP_f16_32,"[16, 32]",12976,0.06948573999106884,0.12524624355137348,0.07208525203168392,0.7922823506216592,0.9039067502486966,0.8954120084921601,0.8911994927146923,0.8040189937680099,0.8828679937877046,0.001354166679084301,0.0,0.0
SMLP_f16_16,SimpleMLP,SMLP_f16_16,"[16, 16]",10656,0.07102022233108679,0.11321572214365005,0.07723047956824303,0.7974340342547575,0.9005534541839599,0.8931847254347562,0.8877722421811611,0.7977419452254835,0.8796255598841795,0.0020833333333333333,0.01171875,0.0
SMLP_f64,SimpleMLP,SMLP_f64,[64],41152,0.04567694918562969,0.13076590187847614,0.053143950179219246,0.8133857805962366,0.944606604113193,0.9285828676820743,0.9372003797673183,0.8216135089577752,0.9185165955922154,0.0,0.0,0.0
SMLP_f32,SimpleMLP,SMLP_f32,[32],20640,0.05020366981625557,0.1635517217218876,0.05687523074448109,0.7958709553432868,0.9390107861254101,0.9181226262356299,0.9306342489917173,0.794955533911262,0.9069272439687079,0.0,0.0,0.0
SMLP_f16,SimpleMLP,SMLP_f16,[16],10384,0.060841986412803334,0.13826005719602108,0.0671268729493022,0.7887910882627697,0.9214721574525344,0.9060353462729737,0.9106799206487455,0.786870801215364,0.8935498364630362,0.0,0.0,0.0
